Date,Open,High,Low,Close,DXY_Change,Open,High,Low,Close,USDJPY_Change
05/04/2020,100.660004,100.93,99.360001,99.470001,-1.18,108.400002,109.352997,108.329002,108.365997,-0.031
12/04/2020,99.489998,100.300003,98.82,99.779999,0.29,108.365997,108.371002,106.93,107.550003,-0.753
19/04/2020,99.709999,100.870003,99.650002,100.379997,0.67,107.550003,107.970001,107.295998,107.440002,-0.102
26/04/2020,100.230003,100.32,98.779999,98.800003,-1.43,107.449997,107.615997,106.363998,106.925003,-0.489
03/05/2020,99.089996,100.400002,99.089996,99.730003,0.65,106.925003,107.055,106.024002,106.670998,-0.238
10/05/2020,99.669998,100.559998,99.580002,100.400002,0.73,106.670998,107.727997,106.670998,107.084,0.387
17/05/2020,100.360001,100.470001,99,99.860001,-0.50,107.084,108.073997,107.067001,107.591003,0.473
24/05/2020,99.769997,99.769997,97.949997,98.339996,-1.43,107.591003,107.931999,107.089996,107.760002,0.157
31/05/2020,98.300003,98.32,96.440002,96.940002,-1.38,107.760002,109.846001,107.393997,109.553001,1.664
07/06/2020,96.839996,97.449997,95.720001,97.32,0.50,109.553001,109.599998,106.598,107.356003,-2.005
14/06/2020,97.089996,97.720001,96.43,97.620003,0.55,107.356003,107.620003,106.666,106.862999,-0.459
21/06/2020,97.660004,97.739998,96.389999,97.5,-0.16,106.862999,107.445,106.082001,107.169998,0.287
28/06/2020,97.5,97.800003,96.809998,97.32,-0.18,107.169998,108.157997,107.051003,107.411003,0.225
05/07/2020,97.150002,97.199997,96.239998,96.650002,-0.51,107.411003,107.788002,106.665001,106.890999,-0.484
12/07/2020,96.660004,96.699997,95.779999,95.940002,-0.74,106.889999,107.412003,106.663002,107.029999,0.131
19/07/2020,96.010002,96.18,94.330002,94.440002,-1.64,107.029999,107.5,105.759003,106.100998,-0.868
26/07/2020,94.349998,94.419998,92.550003,93.489998,-0.91,106.100998,106.100998,104.198997,105.834,-0.252
02/08/2020,93.459999,93.989998,92.519997,93.440002,-0.02,105.834,106.429001,105.302002,105.837997,0.004
09/08/2020,93.389999,93.910004,92.93,93.099998,-0.31,105.898003,107.027,105.709999,106.580002,0.644
16/08/2020,93.099998,93.470001,92.129997,93.25,0.16,106.580002,106.638,105.113998,105.717003,-0.810
23/08/2020,93.199997,93.360001,92.199997,92.370003,-0.89,105.717003,106.938004,105.203003,105.349998,-0.347
30/08/2020,92.300003,93.239998,91.75,92.720001,0.46,105.349998,106.536003,105.306999,106.234001,0.839
06/09/2020,93.050003,93.660004,92.699997,93.330002,0.30,106.234001,106.377998,105.813004,106.129997,-0.098
13/09/2020,93.290001,93.589996,92.769997,92.93,-0.39,106.129997,106.163002,104.273003,104.556,-1.483
20/09/2020,93.010002,94.739998,92.75,94.580002,1.69,104.556,105.697998,104.008003,105.581001,0.980
27/09/2020,94.580002,94.639999,93.529999,93.839996,-0.78,105.581001,105.795998,104.961998,105.32,-0.247
04/10/2020,93.809998,93.900002,93.010002,93.059998,-0.80,105.32,106.105003,105.32,105.620003,0.285
11/10/2020,93.059998,93.900002,93.010002,93.68,0.67,105.620003,105.651001,105.038002,105.379997,-0.227
18/10/2020,93.720001,93.769997,92.470001,92.769997,-1.01,105.379997,105.745003,104.349998,104.726997,-0.620
25/10/2020,92.760002,94.099998,92.739998,94.040001,1.38,104.726997,105.039001,104.029999,104.554001,-0.165
01/11/2020,93.889999,94.300003,92.18,92.230003,-1.77,104.557999,105.341003,103.183998,103.325996,-1.178
08/11/2020,92.239998,93.209999,92.129997,92.760002,0.56,103.325996,105.660004,103.239998,104.643997,1.276
15/11/2020,92.720001,92.839996,92.209999,92.389999,-0.36,104.643997,105.095001,103.664001,103.830002,-0.778
22/11/2020,92.400002,92.800003,91.760002,91.790001,-0.66,103.830002,104.745003,103.686996,104.000999,0.165
29/11/2020,91.779999,92.050003,90.480003,90.699997,-1.18,104.000999,104.747002,103.675003,104.124001,0.118
06/12/2020,90.809998,91.239998,90.620003,90.980003,0.19,104.124001,104.573997,103.825996,104.009003,-0.110
13/12/2020,90.980003,90.980003,89.730003,90.019997,-1.06,104.009003,104.147003,102.893997,103.296997,-0.685
20/12/2020,89.919998,91.019997,89.919998,90.330002,0.46,103.296997,103.885002,103.213997,103.262001,-0.034
27/12/2020,90.220001,90.379997,89.519997,89.940002,-0.31,103.262001,103.893997,102.962997,103.235001,-0.026
03/01/2021,89.93,90.25,89.209999,90.099998,0.19,103.235001,104.078003,102.589996,103.865997,0.611
10/01/2021,90.07,90.800003,89.919998,90.779999,0.79,103.926003,104.389,103.540001,103.899002,-0.026
17/01/2021,90.730003,90.760002,90.050003,90.239998,-0.54,103.790001,104.082001,103.325996,103.75,-0.039
24/01/2021,90.230003,90.879997,90.080002,90.580002,0.39,103.75,104.934998,103.555,104.690002,0.906
31/01/2021,90.529999,91.599998,90.5,91.040001,0.56,104.68,105.763,104.624001,105.305,0.597
07/02/2021,91,91.239998,90.25,90.480003,-0.57,105.305,105.666,104.417999,104.93,-0.356
14/02/2021,90.449997,91.059998,90.120003,90.360001,-0.10,104.950996,106.205002,104.950996,105.547997,0.569
21/02/2021,90.339996,90.970001,89.68,90.93,0.65,105.400002,106.681999,104.900002,106.529999,1.072
28/02/2021,90.93,92.190002,90.629997,91.980003,1.15,106.529999,108.609001,106.375999,108.389999,1.746
07/03/2021,91.989998,92.5,91.370003,91.68,-0.34,108.389999,109.228996,108.314003,108.93,0.498
14/03/2021,91.660004,92.169998,91.300003,91.919998,0.28,108.93,109.356003,108.612,108.918999,-0.010
21/03/2021,91.739998,92.919998,91.709999,92.769997,1.12,108.918999,109.834,108.415001,109.598999,0.624
28/03/2021,92.720001,93.440002,92.720001,92.93,0.23,109.598999,110.953003,109.384003,110.690002,0.995
04/04/2021,93.010002,93.110001,92,92.160004,-0.91,110.690002,110.711998,109.000999,109.658997,-0.931
11/04/2021,92.18,92.330002,91.489998,91.559998,-0.67,109.650002,109.761002,108.625,108.788002,-0.786
18/04/2021,91.540001,91.75,90.809998,90.860001,-0.74,108.769997,108.779999,107.470001,107.860001,-0.837
25/04/2021,90.830002,91.32,90.419998,91.279999,0.50,107.889999,109.333,107.652,109.170998,1.187
02/05/2021,91.300003,91.440002,90.190002,90.230003,-1.17,109.210999,109.693001,108.347,108.584999,-0.573
09/05/2021,90.230003,90.910004,89.980003,90.32,0.10,108.57,109.777,108.378998,109.349998,0.718
16/05/2021,90.300003,90.43,89.650002,90.019997,-0.31,109.349998,109.496002,108.584,108.889999,-0.421
23/05/2021,90.029999,90.440002,89.540001,90.029999,0.00,108.889999,110.195999,108.579002,109.838997,0.872
30/05/2021,90.059998,90.629997,89.660004,90.139999,0.09,109.838997,110.322998,109.333,109.519997,-0.290
06/06/2021,90.129997,90.610001,89.839996,90.559998,0.48,109.519997,109.835999,109.184998,109.646004,0.115
13/06/2021,90.510002,92.410004,90.349998,92.230003,1.90,109.646004,110.817001,109.611,110.220001,0.524
20/06/2021,92.32,92.370003,91.510002,91.809998,-0.55,110.220001,111.095001,109.736,110.760002,0.490
27/06/2021,91.809998,92.739998,91.699997,92.230003,0.46,110.760002,111.655998,110.429001,111.016998,0.232
04/07/2021,92.239998,92.849998,92,92.129997,-0.12,111.019997,111.183998,109.535004,110.07,-0.856
