date,Open,High,Low,Close,Return (%),Security
01/07/2014,80.010002,80.32,79.739998,80.209999,0.25,DXY
08/07/2014,80.260002,80.360001,79.980003,80.190002,-0.09,DXY
15/07/2014,80.190002,80.690002,80.080002,80.519997,0.41,DXY
22/07/2014,80.519997,81.080002,80.419998,81.029999,0.63,DXY
29/07/2014,81.019997,81.57,80.980003,81.300003,0.34,DXY
05/08/2014,81.300003,81.720001,81.260002,81.389999,0.11,DXY
12/08/2014,81.400002,81.690002,81.360001,81.419998,0.02,DXY
19/08/2014,81.419998,82.459999,81.379997,82.339996,1.12,DXY
26/08/2014,82.459999,82.75,82.32,82.75,0.35,DXY
02/09/2014,82.760002,83.940002,82.75,83.760002,1.19,DXY
09/09/2014,83.800003,84.519997,83.800003,84.239998,0.52,DXY
16/09/2014,84.18,84.800003,83.860001,84.800003,0.73,DXY
23/09/2014,84.809998,85.690002,84.370003,85.639999,0.97,DXY
30/09/2014,85.620003,86.75,85.449997,86.690002,1.23,DXY
07/10/2014,86.639999,86.68,84.940002,85.910004,-0.85,DXY
14/10/2014,85.82,86.010002,84.470001,85.190002,-0.74,DXY
21/10/2014,85.209999,85.940002,84.739998,85.730003,0.61,DXY
28/10/2014,85.690002,87.129997,85.190002,86.879997,1.37,DXY
04/11/2014,87.080002,88.190002,86.879997,87.639999,0.64,DXY
11/11/2014,87.559998,88.269997,87.220001,87.529999,-0.03,DXY
18/11/2014,87.540001,88.389999,87.18,88.309998,0.87,DXY
25/11/2014,88.279999,88.440002,87.519997,88.360001,0.09,DXY
02/12/2014,88.230003,89.470001,87.779999,89.330002,1.23,DXY
09/12/2014,89.400002,89.550003,87.910004,88.360001,-1.18,DXY
16/12/2014,88.209999,89.650002,87.629997,89.599998,1.55,DXY
23/12/2014,89.629997,90.160004,89.370003,90.029999,0.44,DXY
30/12/2014,89.980003,91.160004,89.790001,91.080002,1.21,DXY
06/01/2015,91.129997,92.529999,91.120003,91.940002,0.88,DXY
13/01/2015,91.879997,93.260002,91.510002,92.519997,0.69,DXY
20/01/2015,92.709999,95.480003,92.150002,95,2.41,DXY
27/01/2015,95.199997,95.330002,93.699997,94.800003,-0.42,DXY
03/02/2015,94.839996,94.879997,93.25,94.699997,-0.15,DXY
10/02/2015,94.68,95.120003,93.900002,94.199997,-0.51,DXY
17/02/2015,94.099998,94.790001,93.800003,94.25,0.16,DXY
24/02/2015,94.32,95.360001,94.059998,95.25,0.98,DXY
03/03/2015,95.260002,97.730003,95.059998,97.620003,2.42,DXY
10/03/2015,97.720001,100.389999,97.290001,100.330002,2.6,DXY
17/03/2015,100.260002,100.269997,96.629997,97.910004,-2.4,DXY
24/03/2015,97.800003,98.239998,96.169998,97.290001,-0.52,DXY
31/03/2015,97.389999,98.669998,96.389999,96.75,-0.66,DXY
07/04/2015,96.739998,99.690002,96.330002,99.389999,2.67,DXY
14/04/2015,99.349998,99.989998,97,97.519997,-1.88,DXY
21/04/2015,97.309998,98.459999,96.760002,96.919998,-0.4,DXY
28/04/2015,96.900002,97.279999,94.400002,95.300003,-1.68,DXY
05/05/2015,95.220001,95.949997,93.879997,94.790001,-0.45,DXY
12/05/2015,94.800003,95.260002,93.129997,93.139999,-1.78,DXY
19/05/2015,93.230003,96.269997,93.230003,96.010002,2.9,DXY
26/05/2015,96.230003,97.779999,96.169998,96.910004,0.7,DXY
02/06/2015,96.889999,97.68,94.650002,96.309998,-0.6,DXY
09/06/2015,96.339996,96.550003,94.32,94.970001,-1.44,DXY
16/06/2015,95.199997,95.389999,93.559998,94.089996,-1.18,DXY
23/06/2015,94.059998,95.669998,93.809998,95.470001,1.48,DXY
30/06/2015,96.260002,96.419998,94.68,95.949997,-0.32,DXY
07/07/2015,95.940002,97.239998,95.449997,96.029999,0.09,DXY
14/07/2015,95.769997,97.980003,95.629997,97.860001,2.14,DXY
21/07/2015,97.959999,98.150002,96.889999,97.239998,-0.74,DXY
28/07/2015,97.199997,97.769997,96.290001,97.370003,0.17,DXY
04/08/2015,97.220001,98.330002,97.160004,97.559998,0.35,DXY
11/08/2015,97.57,97.919998,95.93,96.57,-1.04,DXY
18/08/2015,96.589996,97.080002,94.82,94.830002,-1.86,DXY
25/08/2015,94.860001,96.32,92.620003,96.110001,1.3,DXY
01/09/2015,96.139999,96.620003,95.190002,96.230003,0.09,DXY
08/09/2015,96.150002,96.419998,95.120003,95.190002,-1.01,DXY
15/09/2015,95.18,95.849998,94.059998,94.860001,-0.34,DXY
22/09/2015,95.32,96.699997,95.040001,96.269997,0.99,DXY
29/09/2015,96.260002,96.5,95.220001,95.830002,-0.45,DXY
06/10/2015,95.82,96.169998,94.690002,94.809998,-1.07,DXY
13/10/2015,94.849998,94.980003,93.809998,94.540001,-0.33,DXY
20/10/2015,94.68,97.199997,94.550003,97.07,2.46,DXY
27/10/2015,97.040001,97.82,96.470001,96.949997,-0.09,DXY
03/11/2015,96.919998,99.349998,96.639999,99.160004,2.26,DXY
10/11/2015,99.190002,99.5,98.43,98.989998,-0.2,DXY
17/11/2015,98.970001,99.849998,98.739998,99.57,0.6,DXY
24/11/2015,99.610001,100.199997,99.309998,100.019997,0.41,DXY
01/12/2015,100.080002,100.510002,97.589996,98.349998,-1.76,DXY
08/12/2015,98.349998,98.900002,97.220001,97.57,-0.8,DXY
15/12/2015,97.620003,99.290001,97.190002,98.699997,1.09,DXY
22/12/2015,98.720001,98.839996,97.860001,97.980003,-0.76,DXY
29/12/2015,97.849998,98.75,97.800003,98.629997,0.79,DXY
05/01/2016,98.690002,99.629997,98.050003,98.540001,-0.15,DXY
12/01/2016,98.370003,99.330002,98.25,98.959999,0.6,DXY
19/01/2016,98.800003,99.800003,98.629997,99.57,0.77,DXY
26/01/2016,99.5,99.830002,98.43,99.610001,0.11,DXY
02/02/2016,99.540001,99.629997,96.260002,97.029999,-2.59,DXY
09/02/2016,96.959999,97.480003,95.239998,95.980003,-1.02,DXY
16/02/2016,96.57,97.169998,96.379997,96.599998,0.03,DXY
23/02/2016,96.599998,98.260002,96.599998,98.150002,1.58,DXY
01/03/2016,98.169998,98.580002,97.019997,97.339996,-0.85,DXY
08/03/2016,97.230003,98.419998,95.940002,96.169998,-1.1,DXY
15/03/2016,96.199997,97.059998,94.580002,94.989998,-1.27,DXY
22/03/2016,95.050003,96.360001,95,96.139999,1.13,DXY
29/03/2016,96.279999,96.400002,94.32,94.620003,-1.75,DXY
05/04/2016,94.620003,95.07,94.019997,94.239998,-0.4,DXY
12/04/2016,94.190002,95.199997,93.629997,94.699997,0.54,DXY
19/04/2016,94.699997,95.199997,93.919998,95.120003,0.44,DXY
26/04/2016,95.110001,95.110001,93.010002,93.080002,-2.18,DXY
03/05/2016,93.019997,93.959999,91.919998,93.889999,0.93,DXY
10/05/2016,93.830002,94.849998,93.68,94.610001,0.82,DXY
17/05/2016,94.57,95.5,94.330002,95.309998,0.78,DXY
24/05/2016,95.290001,95.779999,94.940002,95.519997,0.24,DXY
31/05/2016,95.660004,95.900002,93.870003,94.029999,-1.73,DXY
07/06/2016,93.870003,94.709999,93.43,94.599998,0.77,DXY
14/06/2016,94.639999,95.32,94.07,94.209999,-0.46,DXY
21/06/2016,93.779999,96.699997,93.019997,95.449997,1.75,DXY
28/06/2016,95.529999,96.709999,95.410004,95.650002,0.13,DXY
05/07/2016,95.690002,96.699997,95.339996,96.300003,0.63,DXY
12/07/2016,96.279999,96.790001,95.830002,96.580002,0.31,DXY
19/07/2016,96.589996,97.540001,96.470001,97.470001,0.9,DXY
26/07/2016,97.349998,97.57,95.379997,95.529999,-1.91,DXY
02/08/2016,95.510002,96.519997,95,96.190002,0.71,DXY
09/08/2016,96.220001,96.519997,95.25,95.720001,-0.52,DXY
16/08/2016,95.68,95.800003,94.080002,94.510002,-1.24,DXY
23/08/2016,94.5,95.589996,94.209999,95.57,1.12,DXY
30/08/2016,95.459999,96.260002,95.190002,95.879997,0.44,DXY
06/09/2016,95.889999,95.889999,94.470001,95.339996,-0.58,DXY
13/09/2016,95.300003,96.110001,94.940002,96.110001,0.84,DXY
20/09/2016,96.040001,96.330002,95.050003,95.480003,-0.59,DXY
27/09/2016,95.510002,95.959999,95.129997,95.459999,-0.05,DXY
04/10/2016,95.419998,97.190002,95.419998,96.519997,1.14,DXY
11/10/2016,96.470001,98.129997,96.459999,98.019997,1.58,DXY
18/10/2016,98.059998,98.809998,97.610001,98.699997,0.65,DXY
25/10/2016,98.620003,99.120003,98.239998,98.349998,-0.27,DXY
01/11/2016,98.32,98.699997,96.889999,97.07,-1.29,DXY
08/11/2016,97.540001,99.129997,95.889999,98.989998,1.46,DXY
15/11/2016,99,101.480003,99,101.209999,2.18,DXY
22/11/2016,101.290001,101.919998,100.650002,101.489998,0.2,DXY
29/11/2016,101.440002,101.830002,100.620003,100.769997,-0.66,DXY
06/12/2016,100.660004,101.739998,99.43,101.57,0.9,DXY
13/12/2016,101.690002,103.559998,100.730003,102.949997,1.22,DXY
20/12/2016,102.93,103.650002,102.519997,103.010002,0.08,DXY
27/12/2016,103.010002,103.629997,101.910004,102.389999,-0.61,DXY
03/01/2017,102.379997,103.82,101.300003,102.220001,-0.16,DXY
10/01/2017,102.260002,102.949997,100.720001,101.18,-1.07,DXY
17/01/2017,101.660004,101.730003,100.279999,100.739998,-0.91,DXY
24/01/2017,100.720001,100.82,99.790001,100.529999,-0.19,DXY
31/01/2017,100.349998,101.019997,99.230003,99.870003,-0.48,DXY
07/02/2017,99.620003,101.010002,99.620003,100.800003,1.17,DXY
14/02/2017,100.849998,101.760002,100.410004,100.949997,0.1,DXY
21/02/2017,100.940002,101.720001,100.660004,101.089996,0.15,DXY
28/02/2017,101.080002,102.260002,100.690002,101.540001,0.45,DXY
07/03/2017,101.440002,102.25,101.169998,101.25,-0.19,DXY
14/03/2017,101.279999,101.790001,100.139999,100.300003,-0.98,DXY
21/03/2017,100.339996,100.449997,99.529999,99.629997,-0.71,DXY
28/03/2017,99.43,100.650002,98.860001,100.349998,0.92,DXY
04/04/2017,100.5,101.260002,100.370003,101.18,0.67,DXY
11/04/2017,101.129997,101.339996,100.010002,100.559998,-0.57,DXY
18/04/2017,100.470001,100.470001,99.370003,99.980003,-0.49,DXY
25/04/2017,98.790001,99.330002,98.699997,99.050003,0.26,DXY
02/05/2017,98.93,99.459999,98.540001,98.650002,-0.28,DXY
09/05/2017,98.5,99.889999,98.5,99.25,0.76,DXY
16/05/2017,99.160004,99.260002,97.080002,97.150002,-2.07,DXY
23/05/2017,97.160004,97.550003,96.800003,97.400002,0.25,DXY
30/05/2017,97.43,97.779999,96.650002,96.720001,-0.73,DXY
06/06/2017,96.68,97.5,96.510002,97.269997,0.61,DXY
13/06/2017,97.269997,97.559998,96.32,97.160004,-0.11,DXY
20/06/2017,97.110001,97.870003,97.050003,97.300003,0.2,DXY
27/06/2017,97.300003,97.470001,95.470001,95.660004,-1.71,DXY
04/07/2017,95.620003,96.510002,95.620003,96.010002,0.41,DXY
11/07/2017,96.040001,96.209999,95.089996,95.110001,-0.98,DXY
18/07/2017,95.099998,95.349998,93.849998,93.940002,-1.23,DXY
25/07/2017,93.949997,94.290001,93.150002,93.260002,-0.74,DXY
01/08/2017,93.360001,93.769997,92.550003,93.540001,0.19,DXY
08/08/2017,93.5,93.889999,92.93,93.07,-0.46,DXY
15/08/2017,93.089996,94.150002,93.050003,93.43,0.36,DXY
22/08/2017,93.43,93.629997,92.419998,92.739998,-0.74,DXY
29/08/2017,92.360001,93.349998,91.620003,92.809998,0.48,DXY
05/09/2017,92.660004,92.730003,91.010002,91.330002,-1.46,DXY
12/09/2017,91.860001,92.660004,91.419998,91.870003,0.01,DXY
19/09/2017,91.93,92.699997,91.529999,92.169998,0.26,DXY
26/09/2017,92.32,93.669998,92.209999,93.080002,0.82,DXY
