date,US10Y Percent Change
14/09/1998,-3.08911
21/09/1998,-2.04332
28/09/1998,-2.92032
05/10/1998,-6.18823
12/10/1998,2.55383
19/10/1998,1.84255
26/10/1998,1.79825
02/11/1998,-0.12925
09/11/1998,4.57291
16/11/1998,-0.73226
23/11/1998,0.6961
30/11/1998,-0.79447
07/12/1998,-3.69215
14/12/1998,-1.16631
21/12/1998,0.52448
28/12/1998,4.07609
04/01/1999,-2.34987
11/01/1999,2.6738
18/01/1999,-1.82292
25/01/1999,-0.35013
01/02/1999,-0.12777
08/02/1999,4.00853
15/02/1999,1.47601
22/02/1999,1.61616
01/03/1999,4.5328
08/03/1999,1.86383
15/03/1999,-3.28603
22/03/1999,-0.61776
29/03/1999,1.28205
05/04/1999,0.23015
12/04/1999,-2.75545
19/04/1999,1.69225
26/04/1999,0.89009
03/05/1999,1.45761
10/05/1999,3.6673
17/05/1999,1.34938
24/05/1999,0.39583
31/05/1999,-0.08961
07/06/1999,4.07175
14/06/1999,2.10272
21/06/1999,-0.57394
28/06/1999,1.7657
05/07/1999,-2.36069
12/07/1999,-0.11106
19/07/1999,-2.46322
26/07/1999,0.98211
02/08/1999,1.94512
09/08/1999,2.01022
16/08/1999,1.0354
23/08/1999,-2.67769
30/08/1999,-1.05299
06/09/1999,2.51459
13/09/1999,-0.67811
20/09/1999,-0.26972
27/09/1999,-0.91278
04/10/1999,1.36472
11/10/1999,1.6072
18/10/1999,1.26708
25/10/1999,1.40661
01/11/1999,-1.19355
08/11/1999,-2.48123
15/11/1999,-0.23435
22/11/1999,1.44295
29/11/1999,1.30665
06/12/1999,1.09388
13/12/1999,-1.19509
20/12/1999,2.77869
27/12/1999,1.70165
03/01/2000,0.86005
10/01/2000,1.6124
17/01/2000,1.88435
24/01/2000,1.08574
31/01/2000,-1.00741
07/02/2000,-1.58635
14/02/2000,0.39538
21/02/2000,-0.82551
28/02/2000,-2.58877
06/03/2000,0.40765
13/03/2000,-0.46846
20/03/2000,-1.97678
27/03/2000,-1.5685
03/04/2000,-1.00813
10/04/2000,-3.44941
17/04/2000,0.91868
24/04/2000,1.27276
01/05/2000,3.3042
08/05/2000,3.96391
15/05/2000,0.46497
22/05/2000,0.03085
29/05/2000,-1.14127
05/06/2000,-2.83931
12/06/2000,-1.66988
19/06/2000,-1.33899
26/06/2000,1.15856
03/07/2000,-0.91623
10/07/2000,-0.55317
17/07/2000,1.05438
24/07/2000,-0.16431
31/07/2000,-0.65833
07/08/2000,-1.22598
14/08/2000,-2.48239
21/08/2000,-0.172
28/08/2000,-0.93039
04/09/2000,0.13043
11/09/2000,-0.40816
18/09/2000,1.25567
25/09/2000,1.06786
02/10/2000,-0.85208
09/10/2000,0.80784
16/10/2000,-1.89258
23/10/2000,-1.87696
30/10/2000,0.77931
06/11/2000,1.75747
13/11/2000,0.69085
20/11/2000,-2.05832
27/11/2000,-1.22592
04/12/2000,-1.87943
11/12/2000,-3.18034
18/12/2000,-2.01568
25/12/2000,-3.2381
01/01/2001,0.3937
08/01/2001,-2.11765
15/01/2001,2.51402
22/01/2001,1.57303
29/01/2001,2.07772
05/02/2001,-2.45006
12/02/2001,-1.46832
19/02/2001,0.4902
26/02/2001,-0.29268
05/03/2001,-3.40509
12/03/2001,-0.04052
19/03/2001,-1.90515
26/03/2001,-1.1157
02/04/2001,3.88634
09/04/2001,-0.72405
16/04/2001,4.63938
23/04/2001,1.10358
30/04/2001,1.07239
07/05/2001,-0.5305
14/05/2001,1.79048
