date,Open,High,Low,Close,Percentage Return
26/11/1996,87.279999,88.669998,87.129997,88.599998,1.54
03/12/1996,88.529999,89.139999,87.690002,88.779999,0.20
10/12/1996,88.809998,88.830002,87.910004,88.470001,-0.35
17/12/1996,88.300003,89.07,88.279999,88.699997,0.26
24/12/1996,88.669998,89,88.629997,88.860001,0.18
31/12/1996,88.849998,89.599998,88.029999,89.110001,0.28
07/01/1997,89.120003,90.129997,88.730003,89.949997,0.94
14/01/1997,90,91.739998,89.879997,91.550003,1.78
21/01/1997,91.589996,92.900002,91.120003,92.769997,1.33
28/01/1997,93.059998,93.589996,92.639999,93.089996,0.34
04/02/1997,93.080002,94.489998,92.870003,93.519997,0.46
11/02/1997,94.300003,95.309998,93.599998,95.239998,1.84
18/02/1997,95.089996,95.800003,94.089996,94.290001,-1.00
25/02/1997,94.260002,95.419998,94.169998,95.389999,1.17
04/03/1997,95.410004,96.32,95.349998,95.580002,0.20
11/03/1997,95.589996,96.169998,95.260002,95.68,0.10
18/03/1997,95.75,95.82,94.730003,95.25,-0.45
25/03/1997,95.279999,95.660004,94.18,94.720001,-0.56
01/04/1997,94.730003,96.25,94.019997,96.150002,1.51
08/04/1997,96.400002,97.010002,96.199997,96.940002,0.82
15/04/1997,97.029999,97.169998,95.739998,95.800003,-1.18
22/04/1997,95.75,97.470001,95.75,97.309998,1.58
29/04/1997,97.309998,97.379997,96.629997,97.160004,-0.15
06/05/1997,97.190002,97.230003,94.279999,95.459999,-1.75
13/05/1997,95.330002,95.489998,93.93,94.68,-0.82
20/05/1997,94.709999,94.769997,93.07,94.239998,-0.46
27/05/1997,94.169998,95.82,94.120003,95.730003,1.58
03/06/1997,95.760002,96.220001,94.5,94.699997,-1.08
10/06/1997,94.559998,95.870003,94.419998,95.43,0.77
17/06/1997,95.330002,95.660004,94.879997,94.889999,-0.57
24/06/1997,94.830002,95.809998,94.690002,95.669998,0.82
01/07/1997,95.660004,96.050003,95.139999,95.489998,-0.19
08/07/1997,95.540001,97.199997,95.360001,97.150002,1.74
15/07/1997,96.949997,97.699997,96.720001,97.449997,0.31
22/07/1997,97.489998,99.860001,97.43,99.660004,2.27
29/07/1997,99.559998,100.870003,99.07,100.610001,0.95
05/08/1997,100.349998,101.790001,99.57,100.410004,-0.20
12/08/1997,100.5,100.849998,98.639999,99.389999,-1.02
